Stock 1,Stock 2,Beta,ADF stat,Crit value,Half life
LNT,NI,0.6335004160901165,-5.035120273485207,-3.4568881317725864,3.788239415532381
GEV,ULTA,0.5825993789573043,-4.995016650804456,-3.4568881317725864,3.842461946724822
DUK,PPL,0.27167839882080963,-4.932452296208366,-3.457215237265747,4.728655165804646
CAT,FSLR,0.47096488943826775,-4.9024220294873,-3.4569962781990573,4.537240049966731
CMI,EXPE,0.5449362256814319,-4.841362471236104,-3.4568881317725864,3.9176544335407444
BAC,MS,3.946407278667456,-4.679499262443708,-3.4575505077947746,6.571901333683057
FIX,FSLR,0.19427998042777792,-4.6609742987077,-3.4568881317725864,4.660391003289806
GEV,SCHW,0.06295383036290418,-4.660067941230365,-3.4568881317725864,4.436414935817646
ETR,LNT,0.5286621664509907,-4.646276473973864,-3.4568881317725864,4.2721758980157665
HWM,JCI,0.47019765016771375,-4.626196577010117,-3.4568881317725864,4.507293627064807
ATO,FE,0.24412546756391165,-4.602917396479104,-3.4569962781990573,5.61363825036901
C,GS,7.418896786805197,-4.535119510958827,-3.4568881317725864,4.372018065204244
EVRG,NI,0.4178250719383877,-4.5295639668924395,-3.4568881317725864,4.577586134478632
LVS,PH,8.496466910078732,-4.527815600002555,-3.4568881317725864,5.258726918694488
KLAC,STX,0.356870028038763,-4.479185580581729,-3.4568881317725864,4.7601237064526725
AVGO,TEL,0.5256912307085109,-4.4768357999862305,-3.457215237265747,7.7690570986975755
C,STT,0.8757551679627833,-4.465123093663301,-3.457105309726321,4.773971867514704
L,STX,9.013859685651163,-4.451492380466705,-3.4568881317725864,4.669888849112508
L,NEM,2.4205685712939995,-4.438282438145229,-3.4568881317725864,4.690027076660206
EA,NEM,0.6735829144662041,-4.357393680152901,-3.457105309726321,6.357990493450736
F,RTX,13.396305384110544,-4.340165881740014,-3.4569962781990573,3.786009435277301
BLK,URI,1.30801935459708,-4.317272287761324,-3.4568881317725864,5.082907235657895
HCA,L,0.12424768623563037,-4.315947149873542,-3.4569962781990573,6.409951015656072
