Stock 1,Stock 2,Beta,ADF stat,Crit value,Half life
DGX,DTE,0.612715224608344,-5.493630656905832,-3.4438771098680196,10.012338023694987
FOX,WMT,1.5922129141961585,-5.105979659533173,-3.4436568932270095,12.862813828040267
DGX,NI,0.30006768484529445,-4.927422437157572,-3.443470002903981,7.679307959194174
DGX,PPL,0.18888320062632769,-4.89193942980642,-3.4438771098680196,9.694979894825957
LYV,MA,1.9631086099907697,-4.815050303099302,-3.443470002903981,8.114385309299154
CIEN,WBD,0.10678055403750278,-4.801417341392909,-3.443470002903981,8.910069667526093
LNT,MMM,3.806863870963512,-4.7836713421984385,-3.443470002903981,7.992788880382968
CPT,ESS,2.370402066768714,-4.72077896708348,-3.443496379464,9.009135508751264
DGX,EVRG,0.457658442986948,-4.664501598704247,-3.443470002903981,8.074031770098825
CSCO,RL,6.132264921434326,-4.578270602139601,-3.4435228622952065,11.060351810471376
JCI,NRG,1.9408720903751533,-4.573071893336607,-3.4435761493506294,8.673752061558572
RCL,VST,0.7016035224321914,-4.529834048574912,-3.443470002903981,8.978841048211
KEY,RF,1.4538486616714141,-4.5031291978988195,-3.443470002903981,7.979482341943379
EBAY,GEV,11.779568807454034,-4.495203756543555,-3.445231637930579,7.814023612761124
CVNA,GEV,1.6707320669998738,-4.48158414359257,-3.445231637930579,7.90767060187528
AVGO,C,0.20918590430336906,-4.439834483588472,-3.4436568932270095,11.805715082505948
ATO,EVRG,0.4341031699294712,-4.371200741717642,-3.443496379464,10.799491852105401
DGX,MO,0.43080344974507995,-4.320073954690733,-3.443496379464,8.71302266251465
CNP,TTWO,8.00523075445346,-4.311378591081045,-3.443470002903981,9.451579923059576
ATO,TRV,1.2367663153182487,-4.309455423342792,-3.443470002903981,10.228398222725103
CVNA,NDAQ,0.11105838542564052,-4.295061074672761,-3.443470002903981,9.722834345939557
ATO,XEL,0.41179800758090884,-4.293293178222173,-3.4435494520411605,14.988426685298036
DGX,WEC,0.6351345155313859,-4.282792635782958,-3.443470002903981,9.771922976801646
APP,RL,0.3050915962552701,-4.276368274068464,-3.4435228622952065,11.742142721288111
NI,WMT,2.7685329601965885,-4.266250314812397,-3.4437386290417082,14.813038270350118
KLAC,STX,0.3229207015430469,-4.254415766620077,-3.443470002903981,10.31343730464852
COF,IBKR,0.41569787825494997,-4.25360980885482,-3.4436568932270095,11.27262127712132
EME,NVDA,0.2854745792567982,-4.241375793695805,-3.4435228622952065,9.736509818564958
